Island,Year,ID,Length_mm,Mass_g,
Ainsley,2009,1,21.3,0.6,
Aviation,2009,1,17.4,0.3,
Aviation,2009,2,18.1,0.36,
Aviation,2009,3,12.4,0.11,
Aviation,2009,4,18.2,0.36,
Aviation,2009,5,15.9,0.26,
Aviation,2009,6,16.1,0.25,
Aviation,2009,7,15.3,0.15,
Aviation,2009,8,17.5,0.35,
Aviation,2009,9,9.8,0.05,
Dudley,2009,1,21.7,0.62,
Dudley,2009,2,17.7,0.29,
Dudley,2009,3,17.1,0.39,
Dudley,2009,4,19.5,0.4,
Dudley,2009,5,19.1,0.4,
Dudley,2009,6,17.8,0.35,
Dudley,2009,7,12.2,0.11,
Dudley,2009,8,25.5,0.98,
Dudley,2009,9,14,0.19,
Dudley,2009,10,12.3,0.1,
Dudley,2009,11,11.9,0.09,
Dudley,2009,12,21.4,0.52,
Dudley,2009,13,17.6,0.29,
Eastern,2009,1,23,0.78,
Eastern,2009,2,18.3,0.31,
Eastern,2009,3,16.7,0.24,
Eastern,2009,4,16.4,0.21,
Eastern,2009,5,20.9,0.46,
Eastern,2009,6,21.4,0.47,
Eastern,2009,7,21.3,0.5,
Eastern,2009,8,16,0.24,
Eastern,2009,9,15.7,0.23,
Eastern,2009,10,15.9,0.19,
Frigate,2009,1,9.2,0.05,
Frigate,2009,2,16,0.25,
Frigate,2009,3,10,0.08,
Frigate,2009,4,12.5,0.1,
Holei,2009,1,13.6,0.14,
Holei,2009,2,15.7,0.26,
Holei,2009,3,12.9,0.13,
Holei,2009,4,15.7,0.23,
Holei,2009,5,11.4,0.08,
Holei,2009,6,13.1,0.13,
Holei,2009,7,17.9,0.33,
Holei,2009,8,12.4,0.1,
Holei,2009,9,17.7,0.35,
Holei,2009,10,10.7,0.07,
Home,2009,1,14.9,0.18,
Home,2009,2,13.7,0.13,
Home,2009,3,13.9,0.13,
Home,2009,4,20,0.54,
Home,2009,5,17.8,0.4,
Home,2009,6,15.5,0.19,
Home,2009,7,15.1,0.23,
Home,2009,8,10,0.06,
Home,2009,9,16.6,0.27,
Home,2009,10,12.3,0.11,
Home,2009,11,12.4,0.1,
Kaula,2009,1,14.2,0.14,
Kaula,2009,2,8.6,0.04,
Kaula,2009,3,16.8,0.3,
Kaula,2009,4,14,0.17,
Kaula,2009,5,13.8,0.18,
Kaula,2009,6,13.2,0.14,
Kaula,2009,7,14,0.18,
Kaula,2009,8,16.8,0.36,
Kaula,2009,9,11.5,0.08,
Lost,2009,1,14.6,0.2,
Lost,2009,2,15.3,0.22,
Lost,2009,3,20.8,0.51,
Lost,2009,4,21.1,0.46,
Lost,2009,5,10.1,0.06,
Lost,2009,6,15.6,0.23,
Lost,2009,7,13.4,0.16,
Lost,2009,8,17.5,0.21,
Lost,2009,9,12.7,0.12,
Lost,2009,10,18.2,0.42,
Lost,2009,11,15.5,0.27,
Lost,2009,12,27.5,1.62,
North Fighter,2009,1,14.9,0.2,
North Fighter,2009,2,16.1,0.26,
North Fighter,2009,3,9.5,0.05,
North Fighter,2009,4,13.6,0.17,
North Fighter,2009,5,15.3,0.24,
North Fighter,2009,6,12.5,0.13,
North Fighter,2009,7,15.8,0.29,
North Fighter,2009,8,18.9,0.41,
North Fighter,2009,9,13.8,0.16,
North Fighter,2009,10,15.4,0.21,
Paradise,2009,1,16.4,0.23,
Paradise,2009,2,14.7,0.21,
Paradise,2009,3,15.1,0.2,
Paradise,2009,4,12.5,0.12,
Paradise,2009,5,16.2,0.2,
Paradise,2009,6,10.6,0.07,
Paradise,2009,7,16.8,0.27,
Paradise,2009,8,11.9,0.07,
Paradise,2009,9,9.9,0.06,
Paradise,2009,10,15.7,0.24,
Portsmouth,2009,1,18.9,0.31,
Portsmouth,2009,2,17.3,0.27,
Portsmouth,2009,3,20.7,0.4,
Portsmouth,2009,4,23.4,0.63,
Sand,2009,1,20,0.53,
Sand,2009,2,20.6,0.53,
Sand,2009,3,21.8,0.51,
Sand,2009,4,18.3,0.3,
Sand,2009,5,20.2,0.42,
Sand,2009,6,17.3,0.22,
Sand,2009,7,20.1,0.46,
Sand,2009,8,17.3,0.32,
Sand,2009,9,19.6,0.5,
Sand,2009,10,18,0.37,
South Fighter,2009,1,15.3,0.21,
South Fighter,2009,2,14.2,0.24,
South Fighter,2009,3,21.2,0.58,
South Fighter,2009,4,14.4,0.22,
South Fighter,2009,5,16.3,0.23,
South Fighter,2009,6,18.3,0.37,
South Fighter,2009,7,17.9,0.31,
South Fighter,2009,8,12,0.12,
South Fighter,2009,9,17.1,0.32,
South Fighter,2009,10,10.4,0.07,
Whipoorwill,2009,1,11.7,0.09,
Whipoorwill,2009,2,12,0.11,
Whipoorwill,2009,3,16,0.28,
Whipoorwill,2009,4,16,0.28,
Whipoorwill,2009,5,18.6,0.42,
Whipoorwill,2009,6,15.9,0.27,
Whipoorwill,2009,7,20.2,0.43,
Whipoorwill,2009,8,20.3,0.4,
Whipoorwill,2009,9,19.1,0.41,
Ainsley,2010,1,14.8,0.18,
Ainsley,2010,2,15,0.19,
Ainsley,2010,3,10.6,0.05,
Ainsley,2010,4,11.3,0.05,
Ainsley,2010,5,5.1,,
Ainsley,2010,6,13.6,0.1,
Ainsley,2010,7,14.1,0.14,
Ainsley,2010,8,13.8,0.15,
Aviation,2010,1,12,0.07,
Aviation,2010,2,10,0.06,
Aviation,2010,3,8,0.04,
Aviation,2010,4,3,,
Castor,2010,1,14.7,0.11,
Castor,2010,2,9.3,0.04,
Castor,2010,3,9.8,0.05,
Castor,2010,4,,,
Castor,2010,5,15.8,0.15,
Castor,2010,6,17.1,0.2,
Castor,2010,7,14.8,0.17,
Castor,2010,8,15.8,0.2,
Castor,2010,9,21,0.2,
Castor,2010,10,16.6,0.28,
Castor,2010,11,21.1,0.45,
Engineer,2010,1,12.8,0.07,
Engineer,2010,2,3.4,,
Engineer,2010,3,8.9,0.06,
Engineer,2010,4,5.8,,
Fern,2010,1,14.5,0.13,
Fern,2010,2,4.95,,
Fern,2010,3,13.85,0.17,
Fern,2010,4,17.6,0.23,
Fern,2010,5,7,0.02,
Fern,2010,6,12.75,0.07,
Fern,2010,7,13.1,0.1,
Fern,2010,8,10.15,0.05,
Fern,2010,9,16.25,0.24,
Fern,2010,10,10.39,0.05,
Fern,2010,11,17.21,0.24,
Fern,2010,12,13,0.1,
Fern,2010,13,12.4,,
Fern,2010,14,7.1,0.02,
Fern,2010,15,15.63,0.16,
Leslie,2010,1,10.7,0.06,
Leslie,2010,2,10.8,0.06,
Leslie,2010,3,7.3,0.02,
Leslie,2010,4,10.6,0.06,
North Fighter,2010,1,8.7,0.04,
NS Causeway,2010,1,5.5,,
NS Causeway,2010,2,2.8,,
NS Causeway,2010,3,14.9,0.19,
NS Causeway,2010,4,8.5,0.03,
NS Causeway,2010,5,19.3,0.27,
NS Causeway,2010,6,14,0.12,
Papala,2010,1,16.2,0.22,
Papala,2010,2,14.8,0.15,
Papala,2010,3,9.4,0.04,
Papala,2010,4,16.6,0.17,
Papala,2010,5,13.1,0.12,
Papala,2010,6,13.1,0.08,
Papala,2010,7,7.75,,
Papala,2010,8,8.2,,
Papala,2010,9,7.9,,
Papala,2010,10,5.93,,
Papala,2010,11,9.65,0.05,
Papala,2010,12,16.75,0.17,
Pollucks,2010,1,9.9,0.04,
Pollucks,2010,2,9.4,0.05,
Pollucks,2010,3,8,0.01,
Pollucks,2010,4,9.7,0.05,
Pollucks,2010,5,8.8,0.02,
Pollucks,2010,6,14.2,0.15,
Pollucks,2010,7,7.9,,
Pollucks,2010,8,11.2,0.05,
Pollucks,2010,9,10.6,0.09,
Pollucks,2010,10,14.2,0.14,
Pollucks,2010,11,,0.13,
Sacia,2010,1,10.4,0.04,
Sacia,2010,2,14.6,0.12,
Sacia,2010,3,3.9,,
Sacia,2010,4,21,0.37,
Sacia,2010,5,5.3,,
Sacia,2010,6,10.4,0.04,
Sacia,2010,7,12.5,0.07,
Sacia,2010,8,5.5,,
Sacia,2010,9,15.8,0.14,
South Fighter,2010,1,11,0.07,
South Fighter,2010,2,7,0.04,
South Fighter,2010,3,11,0.12,
South Fighter,2010,4,14.1,0.14,
Aviation,2011,Aviation A,17.73,0.23,
Aviation,2011,Aviation B,16.3,0.15,
Aviation,2011,Aviation C,14.81,0.12,
Aviation,2011,Aviation D,14.72,0.15,
Aviation,2011,Aviation E,17.28,0.19,
Aviation,2011,Aviation F,16.48,0.18,
Aviation,2011,Aviation G,17.28,0.17,
Aviation,2011,Aviation H,12.26,0.07,
Aviation,2011,Aviation I,10.61,0.07,
Aviation,2011,Aviation J,20.2,0.35,
Aviation,2011,Aviation K,16.75,0.3,
Castor,2011,Castor A,20.97,0.3,
Castor,2011,Castor B,17.63,0.21,
Castor,2011,Castor C,11.51,0.06,
Castor,2011,Castor D,10.75,0.04,
Castor,2011,Castor E,15.62,0.15,
Castor,2011,Castor F,11.69,0.05,
Castor,2011,Castor G,20.33,0.35,
Castor,2011,Castor H,14.26,0.12,
Castor,2011,Castor I,10.57,0.05,
Castor,2011,Castor J,11.72,0.08,
Castor,2011,Castor K,13.53,0.09,
Castor,2011,Castor L,9.05,0.03,
Castor,2011,Castor M,12,0.06,
Castor,2011,Castor N,36.41,0.22,
Dudley,2011,Dudley A,20.75,0.31,
Dudley,2011,Dudley B,19.93,0.39,
Dudley,2011,Dudley C,13.81,0.11,
Dudley,2011,Dudley D,26.25,0.77,
Dudley,2011,Dudley E,25.07,0.57,
Dudley,2011,Dudley F,19.97,0.39,
Dudley,2011,Dudley G,17.99,0.16,
Dudley,2011,Dudley H,19.35,0.31,
Dudley,2011,Dudley I,18.86,0.3,
Dudley,2011,Dudley J,21.52,0.46,
Dudley,2011,Dudley K,18.83,0.27,
Dudley,2011,Dudley L,21.98,0.38,
Dudley,2011,Dudley M,22.36,0.55,
Eastern,2011,East A,15.41,0.12,
Eastern,2011,East B,15.54,0.15,
Eastern,2011,East C,12.25,0.08,
Eastern,2011,East D,17.57,0.19,
Eastern,2011,East E,12.3,0.09,
Eastern,2011,East F,20.59,0.3,
Eastern,2011,East G,11.98,0.06,
Eastern,2011,East H,16.69,0.18,
Eastern,2011,East I,17.99,0.37,
Eastern,2011,East J,14.97,0.16,
Eastern,2011,East K,8.41,0.04,
Eastern,2011,East L,12.11,0.11,
Engineer,2011,Eng A,11.71,0.04,
Engineer,2011,Eng B,8.2,0.03,
Engineer,2011,Eng C,8.8,0.02,
Engineer,2011,Eng D,10.72,0.04,
Engineer,2011,Eng E,8.53,0.02,
Engineer,2011,Eng F,13.07,0.09,
Engineer,2011,Eng G,14.02,0.11,
Engineer,2011,Eng H,8.1,0.02,
Engineer,2011,Eng I,13.9,0.12,
Engineer,2011,Eng J,16.12,0.14,
Engineer,2011,Eng K,10.63,0.04,
Engineer,2011,Eng L,9.85,0.03,
Engineer,2011,Eng M,16.17,0.12,
Engineer,2011,Eng N,15.38,0.15,
Engineer,2011,Eng O,16.44,0.19,
Engineer,2011,Eng P,17.17,0.21,
Engineer,2011,Eng Q,14.4,0.12,
Engineer,2011,Eng R,7,0.02,
Fern,2011,Fern A,20.8,0.32,
Fern,2011,Fern B,13.02,0.08,
Fern,2011,Fern C,11.16,0.05,
Fern,2011,Fern D,13.67,0.1,
Fern,2011,Fern E,14.74,0.12,
Fern,2011,Fern F,9.44,0.04,
Fern,2011,Fern G,10.07,0.05,
Fern,2011,Fern H,9.71,0.03,
Fern,2011,Fern I,6.71,0.01,
Fern,2011,Fern J,10.64,0.03,
Fern,2011,Fern K,13.33,0.08,
Fern,2011,Fern L,14.7,0.09,
Fern,2011,Fern M,17.3,0.15,
Frigate,2011,Frigate A,10.13,0.04,
Frigate,2011,Frigate B,14.38,0.1,
Frigate,2011,Frigate C,10.49,0.04,
Frigate,2011,Frigate D,10.06,0.03,
Frigate,2011,Frigate E,10.71,0.05,
Frigate,2011,Frigate F,10.34,0.04,
Frigate,2011,Frigate G,15.55,0.18,
Frigate,2011,Frigate H,9.67,0.03,
Frigate,2011,Frigate I,14.08,0.08,
Frigate,2011,Frigate J,13.1,0.09,
Frigate,2011,Frigate K,17.76,0.28,
Frigate,2011,Frigate L,21.28,0.46,
Frigate,2011,Frigate M,11.68,0.11,
Frigate,2011,Frigate N,11.06,0.06,
Frigate,2011,Frigate O,21.94,0.37,
Frigate,2011,Frigate P,16.97,0.16,
Frigate,2011,Frigate Q,22.98,0.47,
Frigate,2011,Frigate R,15.05,0.11,
Frigate,2011,Frigate S,8,0.03,
Holei,2011,Holei A,10.53,0.06,
Holei,2011,Holei B,12.99,0.08,
Holei,2011,Holei C,17.12,0.21,
Holei,2011,Holei D,15.7,0.15,
Holei,2011,Holei E,13.62,0.08,
Holei,2011,Holei F,14.79,0.11,
Holei,2011,Holei G,15.58,0.16,
Holei,2011,Holei H,13.8,0.07,
Holei,2011,Holei I,12.22,0.07,
Holei,2011,Holei J,14.03,0.09,
Holei,2011,Holei K,18.17,0.24,
Holei,2011,Holei L,17.32,0.21,
Holei,2011,Holei M,8.85,0.02,
Holei,2011,Holei N,11.87,0.04,
Holei,2011,Holei O,15.67,0.11,
Holei,2011,Holei P,11.96,0.05,
Holei,2011,Holei Q,10.66,0.06,
Holei,2011,Holei R,10.21,0.04,
Holei,2011,Holei S,21.39,0.29,
Kaula,2011,Kaula A,14.99,0.14,
Kaula,2011,Kaula B,8.93,0.03,
Kaula,2011,Kaula C,10.54,0.06,
Kaula,2011,Kaula D,11.08,0.07,
Kaula,2011,Kaula E,14.87,0.12,
Kaula,2011,Kaula F,13.24,0.1,
Kaula,2011,Kaula G,14,0.17,
Kaula,2011,Kaula H,7.51,0.01,
Kaula,2011,Kaula I,12.21,0.06,
Kaula,2011,Kaula J,12.64,0.06,
Kaula,2011,Kaula K,11.19,0.04,
Kaula,2011,Kaula L,13.32,0.1,
Kaula,2011,Kaula M,18.52,0.2,
Kaula,2011,Kaula N,11.46,0.06,
Kaula,2011,Kaula O,19.63,0.41,
Kaula,2011,Kaula P,16.73,0.08,
Kaula,2011,Kaula Q,11.57,0.08,
Kaula,2011,Kaula R,11.31,0.11,
Kaula,2011,Kaula S,16.89,0.27,
Kaula,2011,Kaula T,17.59,0.19,
Kaula,2011,Kaula U,19.16,0.26,
Kaula,2011,Kaula V,10.81,0.04,
Kaula,2011,Kaula W,12.39,0.07,
Kaula,2011,Kaula X,7.5,0.01,
Kaula,2011,Kaula Y,5.96,0.01,
Kaula,2011,Kaula Z,12,0.09,
Leslie,2011,Leslie A,18.14,0.26,
Leslie,2011,Leslie B,19.93,0.32,
Leslie,2011,Leslie C,18.62,0.32,
Leslie,2011,Leslie D,8.54,0.1,
Leslie,2011,Leslie E,8.81,0.03,
Leslie,2011,Leslie F,15.31,0.23,
Leslie,2011,Leslie G,15.57,0.16,
Leslie,2011,Leslie H,25.39,0.48,
Leslie,2011,Leslie I,16.52,0.23,
Leslie,2011,Leslie J,10.91,0.1,
Leslie,2011,Leslie K,16.9,0.26,
Leslie,2011,Leslie L,12.04,0.06,
Leslie,2011,Leslie M,13.81,0.11,
Leslie,2011,Leslie N,11.76,0.07,
Leslie,2011,Leslie O,8.79,0.03,
Leslie,2011,Leslie P,18.32,0.33,
Leslie,2011,Leslie Q,12.22,0.08,
Leslie,2011,Leslie R,15.34,0.19,
Leslie,2011,Leslie S,14.75,0.18,
Leslie,2011,Leslie T,17.28,0.31,
Leslie,2011,Leslie U,13.16,0.1,
Leslie,2011,Leslie V,22.09,0.39,
Leslie,2011,Leslie W,5,0.02,
Lost,2011,Lost A,22.92,0.44,
Lost,2011,Lost B,23.02,0.47,
Lost,2011,Lost C,13.95,0.08,
Lost,2011,Lost D,18.04,0.22,
Lost,2011,Lost E,9.27,0.05,
Lost,2011,Lost F,17.85,0.29,
Lost,2011,Lost G,13.95,0.17,
Lost,2011,Lost H,20.7,0.45,
Lost,2011,Lost I ,13.04,0.09,
Lost,2011,Lost J,17.41,0.23,
Lost,2011,Lost K,15.24,0.15,
Lost,2011,Lost L,21.96,0.44,
Lost,2011,Lost M,14.72,0.13,
Lost,2011,Lost N,7.31,0.03,
Lost,2011,Lost O,18.24,0.29,
Lost,2011,Lost P,15.48,0.15,
Lost,2011,Lost Q,12.13,0.07,
Lost,2011,Lost R,14.27,0.17,
North Fighter,2011,North Fighter A,17.28,0.16,
North Fighter,2011,North Fighter B,9.85,0.07,
North Fighter,2011,North Fighter C,12.67,0.07,
North Fighter,2011,North Fighter D,12.5,0.08,
North Fighter,2011,North Fighter E,13.55,0.11,
North Fighter,2011,North Fighter F,11.47,0.09,
North Fighter,2011,North Fighter G,10.3,0.05,
North Fighter,2011,North Fighter H,12.29,0.09,
North Fighter,2011,North Fighter I,9.4,0.04,
North Fighter,2011,North Fighter J,13.78,0.08,
North Fighter,2011,North Fighter K,10.39,0.05,
North Fighter,2011,North Fighter L,16.62,0.12,
North Fighter,2011,North Fighter M,16.67,0.15,
Paradise,2011,Paradise A,13.57,0.11,
Paradise,2011,Paradise B,17.13,0.17,
Paradise,2011,Paradise C,11.11,0.09,
Paradise,2011,Paradise D,12.31,0.08,
Paradise,2011,Paradise E,15.44,0.12,
Paradise,2011,Paradise F,9.77,0.06,
Paradise,2011,Paradise G,15.7,0.17,
Paradise,2011,Paradise H,12.93,0.09,
Paradise,2011,Paradise I,18.69,0.24,
Paradise,2011,Paradise J,13.08,0.09,
Paradise,2011,Paradise K,20.47,0.28,
Paradise,2011,Paradise L,22.8,0.46,
Paradise,2011,Paradise M,18.76,0.17,
Paradise,2011,Paradise N,15.09,0.16,
Portsmouth,2011,Portsmouth A,12.89,0.07,
Portsmouth,2011,Portsmouth B,11.56,0.07,
Portsmouth,2011,Portsmouth C,16.66,0.19,
Portsmouth,2011,Portsmouth D,17.3,0.17,
Portsmouth,2011,Portsmouth E,13.52,0.13,
Portsmouth,2011,Portsmouth F,12,0.08,
Portsmouth,2011,Portsmouth G,17.72,0.25,
Portsmouth,2011,Portsmouth H,18.77,0.25,
Portsmouth,2011,Portsmouth I,17.94,0.17,
Portsmouth,2011,Portsmouth J,19.3,0.24,
Portsmouth,2011,Portsmouth K,20.99,0.27,
Portsmouth,2011,Portsmouth L,18.09,0.22,
Sacia,2011,Sacia A,14.23,0.11,
Sacia,2011,Sacia B,12.77,0.07,
Sacia,2011,Sacia C,11.72,0.06,
Sacia,2011,Sacia D,7,0.05,
Sacia,2011,Sacia E,12.09,0.06,
Sacia,2011,Sacia F,18.02,0.16,
Sacia,2011,Sacia G,10.12,0.04,
Sacia,2011,Sacia H,7.67,0.02,
Sacia,2011,Sacia I,13.6,0.13,
Sacia,2011,Sacia J,18.25,0.2,
Sand,2011,Sand A,15.11,0.15,
Sand,2011,Sand B,15.35,0.17,
Sand,2011,Sand C,21.45,0.35,
Sand,2011,Sand D,21.86,0.48,
Sand,2011,Sand E,15.63,0.14,
Sand,2011,Sand F,17.83,0.19,
Sand,2011,Sand G,16.66,0.27,
Sand,2011,Sand H,22.35,0.34,
Sand,2011,Sand I,16.01,0.16,
Sand,2011,Sand J,16.38,0.13,
Sand,2011,Sand K,15.5,0.2,
Sand,2011,Sand L,7.19,0.01,
Sand,2011,Sand M,10,0.04,
Sand,2011,Sand N,16.32,0.14,
Sand,2011,Sand O,19.99,0.34,
Sand,2011,Sand P,20.41,0.35,
Sand,2011,Sand Q,18.42,0.3,
Sand,2011,Sand R,8.44,0.03,
Sand,2011,Sand S,13.6,0.08,
Sand,2011,Sand T,15.12,0.15,
Sand,2011,Sand U,22.69,0.42,
Sand,2011,Sand V,12.08,0.06,
Sand,2011,Sand W,15.88,0.21,
Sand,2011,Sand X,18.34,0.27,
Whipoorwill,2011,Whip A,14.78,0.09,
Whipoorwill,2011,Whip B,13.42,0.13,
Whipoorwill,2011,Whip C,18.88,0.27,
Whipoorwill,2011,Whip D,14.64,0.14,
Whipoorwill,2011,Whip E,11.83,0.06,
Whipoorwill,2011,Whip F,15.28,0.09,
Whipoorwill,2011,Whip G,12.25,0.08,
Whipoorwill,2011,Whip H,15.64,0.17,
Whipoorwill,2011,Whip I,11,0.11,
Whipoorwill,2011,Whip J,7.52,0.03,
Castor,2012,1,8.1,0.01178,
Castor,2012,2a,8.3,0.0202,
Castor,2012,2b,12.3,0.07395,
Castor,2012,3,21.3,0.29139,
Castor,2012,4,15.6,0.15428,
Castor,2012,5,17.4,0.13206,
Castor,2012,6,13.8,0.11746,
Castor,2012,7,4.8,0.00389,
Castor,2012,8,7.2,0.01627,
Castor,2012,9,23,0.25884,
Castor,2012,10,22.2,0.42487,
Dudley,2012,1,19.5,0.30463,
Dudley,2012,2,9.2,0.02719,
Dudley,2012,3,11.2,0.0686,
Dudley,2012,4,9.5,0.04937,
Dudley,2012,5,14.4,0.15449,
Dudley,2012,6,17.6,0.22686,
Dudley,2012,7,8.3,0.02126,
Dudley,2012,8,13.2,0.11062,
Dudley,2012,9,18.2,0.2397,
Dudley,2012,10,16.3,0.19592,
Dudley,2012,11,12.7,0.09988,
Eastern,2012,1,15.5,0.1463,
Eastern,2012,2,14.3,0.13295,
Eastern,2012,3,20.4,0.24717,
Eastern,2012,4,10.3,0.03827,
Eastern,2012,5,23.2,0.39725,
Eastern,2012,6,6.7,0.0117,
Eastern,2012,7,15.5,0.1504,
Eastern,2012,8,21.5,0.34971,
Eastern,2012,9,12.2,0.077,
Eastern,2012,10,17.8,0.16794,
Eastern,2012,11,15.1,0.13334,
Eastern,2012,12,16.5,0.21082,
Engineer,2012,1,16.6,0.17885,
Engineer,2012,2,10.5,0.04088,
Engineer,2012,3,10.1,0.03314,
Engineer,2012,4,16.3,0.15346,
Engineer,2012,5,7,0.01547,
Engineer,2012,6,15.9,0.14633,
Engineer,2012,7,18.8,0.2592,
Engineer,2012,8,16.4,0.10067,
Engineer,2012,9,14.1,0.09279,
Engineer,2012,10,11.5,0.08426,
Engineer,2012,11,11.2,0.04987,
Engineer,2012,12,16.3,0.15972,
Engineer,2012,13,14.4,0.1018,
Frigate,2012,1,18.1,0.20591,
Frigate,2012,2,9.6,0.0439,
Frigate,2012,3,17.3,0.27262,
Frigate,2012,4,9,0.03732,
